Nama Obat,Harga Jual 1,Jenis Obat,Deskripsi
COMTUSI,"42,500.00",RESEP DOKTER,Mengatasi batuk akibat alergi serta batuk berdahak.
CERINI,"6,500.00",BEBAS,"Mengobati rinitis menahun, rinitis alergi seasonal, konjungtivitis, pruritus, urtikaria idiopati kronis."
CONTREXIN,"1,650.00",BEBAS,Mengurangi rasa sakit dan menurunkan demam pada anak. Obat ini bekerja dengan cara menghambat enzim alami dan mengencerkan darah di dalam tubuh.
CALCIUM LACTATE,"2,500.00",BEBAS,"Obat yang digunakan untuk pengobatan kekurangan kalsium, serta memelihara kesehatan tulang dan gigi."
CELEBREX,"14,000.00",BEBAS,"Obat yang mengandung Celecoxib digunakan untuk mengatasi nyeri dan pembengkakan akibat rheumatoid arthritis, gout arthritis serta ketika pasien juga mengalami peradangan, dan mengurangi gangguan inflamasi (peradangan) secara umum."
CLAST,"27,500.00",RESEP DOKTER,"Obat dengan kandungan Clebopride yang digunakan untuk ulkus peptikum, gastroduodenitis, mual, dan muntah."
COPARCETIN ,"6,000.00",BEBAS,"Obat dengan kandungan Paracetamol, Guaifenesin, Ephedrin HCl, dan Chlorphenamine maleate. Obat ini digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung, dan bersin-bersin yang disertai batuk."
CORTISONE,"280,000.00",RESEP DOKTER,"Obat untuk mengatasi berbagai kondisi peradangan, seperti radang kulit, radang sendi, alergi, atau lupus."
CITOCETIN SYR,"7,500.00",BEBAS,"Mengatasi gejala flu seperti demam, hidung tersumbat, dan bersin-bersin yang disertai batuk berdahak."
COMBIVENT,"7,500.00",RESEP DOKTER,Mencegah bronkospasme (pengencangan dan penyempitan saluran udara) pada pasien asma. Penyempitan penyakit paru obstruktif kronik (PPOK)
CARDISAN,"8,000.00",RESEP DOKTER,Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
CLOPIDOGREL,"2,500.00",RESEP DOKTER,"Obat untuk mencegah penyumbatan pembuluh darah dan membantu melancarkan peredaran darah, sehingga obat ini dapat menurunkan risiko terjadinya stroke atau serangan jantung."
COROVIT ,"15,000.00",BEBAS,"Multivitamin dan mineral yang dapat membantu memulihkan kondisi seseorang yang sedang mengalami Anemia (kekurangan darah), membantu menambah nafsu makan dan membantu daya tahan tubuh melawan penyakit."
CURLIV PLUS,"5,500.00",BEBAS,"Mengandung ekstrak temulawak, sylmarin, schisandra, dan akar manis, serta kolin dan vitamin B6. Kombinasi bahan ini dipercaya baik untuk menjaga kesehatan dan fungsi hati, mengurangi peradangan pada hati, dan menurunkan risiko terjadinya penyakit hati."
CUSSONS B PWDR,"8,000.00",BEBAS,"Bedak yang berguna untuk menyerap kelebihan kelembaban dan menjaga kulit bayi terasa segar, lembut dan harum."
CYDIFAR,"2,500.00",RESEP DOKTER,Obat yang digunakan untuk mengobati berbagai jenis alergi
CEFIXIME,"3,250.00",RESEP DOKTER,"Antibiotik untuk mengobati berbagai infeksi bakteri. Jenis infeksi bakteri yang dapat diobati dengan cefixime antara lain infeksi saluran pernapasan, infeksi tenggorokan dan amandel, infeksi telinga, infeksi saluran kemih, dan infeksi menular seksual."
CIMEXOL,"6,000.00",RESEP DOKTER,Mengobati dan mencegah beberapa jenis maag termasuk mengobati kondisi perut yang menghasilkan banyak asam.
COTRIM F,"6,500.00",RESEP DOKTER,Membantu terapi dalam pengobatan: infeksi saluran napas. infeksi saluran pencernaan.
CONTREXIN DEMAM SYR,"9,000.00",BEBAS,"Menurunkan demam dan meredakan nyeri, seperti sakit kepala dan sakit gigi."
CONTREXYN,"1,500.00",BEBAS,Mengurangi rasa sakit dan menurunkan demam pada anak. Obat ini bekerja dengan cara menghambat enzim alami dan mengencerkan darah di dalam tubuh.
COLCHICINE,"1,750.00",RESEP DOKTER,Obat yang digunakan untuk mengobati atau mencegah serangan gout (kadar asam urat tinggi dalam darah).
CAR-Q,"17,500.00",BEBAS,"Suplemen yang digunakan untuk terapi suportif dalam memelihara kesehatan jantung agar terhindar dari penyakit jantung koroner, gagal jantung, dan penyakit pembuluh darah tepi serta memiliki efek antioksidan bagi tubuh."
CAL 95,"8,000.00",BEBAS,"Suplemen yang mengandung multivitamin dan mineral, diantaranya yaitu: Kalsium, Zinc, Boron, dan Magnesium. Suplemen ini digunakan untuk terapi suportif pada osteoporosis, memenuhi kebutuhan kalsium pada anak pada masa pertumbuhan, ibu hamil, dan menyusui."
CEFILA DRY SYRUP,"120,000.00",RESEP DOKTER,"Mengobati infeksi saluran kemih tanpa komplikasi, otitis media, faringiris dan tonsilitis, serta bronkitis akut dan kronis dengan eksaserbasi akut."
CRAVOX,"47,500.00",RESEP DOKTER,"Mengobati infeksi bakteri seperti infeksi saluran kemih, pneumonia, bronchitis, sinusitis, infeksi kulit, jaringan lunak dan infeksi prostat."
CHOLVASTIN,"14,000.00",RESEP DOKTER,Obat yang digunakan untuk mengontrol kadar kolesterol dan trigliserid (asam lemak) dalam darah pada penderita hiperlipidemia yang memiliki resiko penyakit jantung.
CLANEKSI,"18,000.00",RESEP DOKTER,"Mengatasi penyakit akibat infeksi bakteri pada berbagai bagian tubuh, termasuk saluran pernapasan, saluran kemih, kulit dan jaringan, serta tulang dan sendi."
COTRIMOXAZOLE ,"3,500.00",RESEP DOKTER,"Obat ini digunakan untuk menangani infeksi yang disebabkan oleh bakteri, seperti bronkitis, otitis media, dan infeksi saluran kemih."
CALNIC PLUS,"50,000.00",BEBAS,Suplemen makanan yang mengandung kalsium organik dan vitamin D. Suplemen ini digunakan untuk membantu memenuhi kebutuhan kalsium dan vitamin D di dalam tubuh.
CEFOTAXIME,"9,000.00",RESEP DOKTER,"Obat yang digunakan untuk mengobati berbagai macam penyakit infeksi bakteri. Beberapa penyakit infeksi yang bisa diatasi oleh obat ini adalah pneumonia, infeksi saluran kemih, kencing nanah, meningitis, atau infeksi tulang dan sendi."
CURCUMA PLUS,"18,500.00",BEBAS,"Suplemen yang mengandung temulawak, minyak ikan, kalsium, vitamin D, vitamin A, serta vitamin B kompleks. Suplemen ini digunakan untuk memperbaiki nafsu makan , membantu pertumbuhan, serta memelihara kesehatan anak."
CUSSONS MINYAK TELON,"8,500.00",BEBAS,Memberikan kenyamanan dan kehangatan yang pas untuk bayi dengan aroma khas yang terasa menenangkan. Membantu melindungi dari gigitan nyamuk hingga 8 jam dan meredakan gatal-gatal akibat gigitan nyamuk/serangga.
CORTIDEX,"6,000.00",RESEP DOKTER,Obat anti inflamasi golongan glukokortikoid yang berperan dalam mengurangi atau menekan proses peradangan dan alergi yang terjadi pada tubuh.
DUMOCYCLINE,"15,000.00",RESEP DOKTER,"Obat antibiotik dengan kandungan Tetracycline 250 mg yang digunakan untuk mengobati infeksi bakteri yang terjadi pada kulit, usus, saluran pernapasan, saluran kemih, kelamin, kelenjar getah bening, dan bagian lain dalam tubuh."
DOLGESIK,"5,000.00",RESEP DOKTER,"Obat yang mengandung Tramadol HCl, berbentuk injeksi dan tablet yang diproduksi oleh Mersifarma Tirmaku Mercusana. Dolgesik digunakan untuk meredakan nyeri akut dan kronis, serta meringankan nyeri pasca operasi."
DEXAMETHASON,"5,000.00",RESEP DOKTER,Golongan obat kortikosteroid yang berkerja dengan cara menurunkan peradangan dan menurunkan sistem kekebalan tubuh.
DERMATOP,"85,000.00",RESEP DOKTER,Obat yang digunakan untuk membantu pengobatan pada penyakit kulit yang memerlukan penanganan dengan kortikosterid. 
DAUN JATI CINA HERBALAM,"7,500.00",BEBAS,1. Anti Toxin - Membuang dan Menetralkan Racun dalam Tubuh 2. Menurunkan berat badan 3. Melancarkan buang air besar
DEGIROL,"15,000.00",BEBAS,"Obat ini digunakan untuk sakit tenggorokan, peradangan pada rongga mulut dan tenggorokan seperti gingivitis, periodontitis, faringitis, laringitis dan angina, serta infeksi selaput lendir mulut seperti stomatitis. Satu tablet dibiarkan melarut perlahan-lahan di dalam mulut."
DEXTAF,"3,000.00",RESEP DOKTER,"Obat yang di gunakan sebagai anti alergi pada keadaan Hay fever berat, asma bronkial kronik, rinitis alergi, dermatitis kontak & atopik, reaksi kulit akibat obat, serum sickness, konjungtivitis alergi, keratitis & ocular inflammatory disorders."
DEXTEEM PLUS,"4,000.00",RESEP DOKTER,"Mengobati kasus-kasus alergi dan inflamasi yang membutuhkan terapi dengan kortikosteroid, seperti gatal-gatal pada kulit, dermatitis (eksim), reaksi alergi obat, rhinitis alergi, asma, dan lain-lain."
DESLORATADINE,"5,000.00",RESEP DOKTER,Pengobatan gejala alergi. Obat ini bekerja dengan mencegah pelepasan dari mediator pro-inflammatory.
DOLO LICOBION,"6,000.00",RESEP DOKTER,"Obat yang mengandung Metamizole sodium, dan vitamin B kompleks. Metamizole Sodium berfungsi sebagai analgetik dan antipiretik, yakni dapat menurunkan demam dan meringankan nyeri ringan"
DOLO NEUROBION,"25,000.00",BEBAS,Obat ini digunakan untuk mengurangi rasa nyeri yang disebabkan Neuritis dan Neuralgia.
DAKTARIN CR,"45,000.00",RESEP DOKTER,"Krim ini digunakan untuk mengobati infeksi kulit yang disebabkan oleh dermatofit atau ragi, dan jamur lainnya."
DANASONE,"2,000.00",RESEP DOKTER,Obat yang mengandung Dexamethasone 0.5 mg. Dexamethasone adalah salah obat anti inflamasi golongan kortikosteroid yang berperan dalam mengurangi atau menekan proses peradangan dan alergi yang terjadi pada tubuh.
DAPYRIN,"3,000.00",BEBAS,"Obat ini digunakan untuk mengatasi demam dan sebagai perda nyeri seperti sakit kepala, sakit gigi dan nyeri ringan lainnya."
DARYANT TULLE,"27,500.00",RESEP DOKTER,Plester luka yang mengandung antibiotika
DECADRYL,"17,500.00",BEBAS,"Obat yang digunakan untuk membantu mengobati batuk berdahak yang disebabkan oleh alergi, flu, sesak napas dan asma."
DEHISTA,"2,500.00",BEBAS,"Obat dengan kandungan zat aktif Chlorpheniramine Maleate. Chlorpheniramine maleate bekerja sebagai antihistamin pada reseptor H1 atau antialergi yang digunakan untuk meringankan gejala alergi seperti pada rhinitis, urtikaria, serta hay fever."
DERMAFIX,"17,500.00",RESEP DOKTER,Merupakan plester transparan yang breathable untuk menjaga pertukaran oksigen dan mengurangi resiko maserasi kulit.
DERMATIX ULTRA,"130,000.00",BEBAS,Produk perawatan kulit yang teruji secara klinis memudarkan bekas luka.
DERMIFAR,"6,000.00",BEBAS,"Obat antijamur berbentuk krim yang mengandung zat clotrimazole. Dermifar Cream bermanfaat untuk mengatasi infeksi kulit akibat jamur, seperti panu, kandidiasis, kurap, dan lainnya."
DESOLEX N,"40,000.00",RESEP DOKTER,"Obat ini digunakan untuk kelainan kulit yang disebabkan oleh alergi, radang dan gatal yang terinfeksi maupun yang cenderung terinfeksi seperti dermatitis, dermatitis atopik, dermatitis kontak dan berbagai jenis dermatitis yang lain, psoriasis, Kaligata (urtikaria), Pruritus ani, dan vulvae."
DETTOL ANTISEPTIK,"15,000.00",BEBAS,Antiseptik cair yang digunakan sebagai perlindungan dari penyakit yang disebabkan kuman.
DEXAMETHASON,"3,000.00",RESEP DOKTER,Obat kortikosteroid yang berkerja dengan cara menurunkan peradangan dan menurunkan sistem kekebalan tubuh. 
DEXANTA,"3,500.00",BEBAS,"Obat yang digunakan untuk mengatasi gangguan pada saluran pencernaan seperti gastritis, perut kembung, maag, dispepsia, hiatus hernia, tukak lambung dan tukak usus duabelas jari."
DEXIGEN,"11,000.00",RESEP DOKTER,"Obat yang digunakan untuk mengobati berbagai tipe eksim,dermatitis, dan psoriasis yang peka terhadap kortikosteroid."
DEXTAMINE,"20,000.00",RESEP DOKTER,"Mengatasi rhinitis alergi (radang selaput lendir), alergi obat, asma, hay fever, dan dermatitis kontak ataupun atopik."
DEXTRAL SYR,"9,000.00",BEBAS,"Obat ini digunakan untuk meredakan batuk yang disertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin."
DIABETASOL SWEETENER,"40,000.00",BEBAS,Pemanis penganti gula yang diformulasi khusus untuk para pengidap diabetes.
DERMOVATE CREAM,"115,000.00",RESEP DOKTER,Obat untuk mengatasi masalah kulit seperti dermatosis yang sudah parah dan tidak responsif terhadap obat kortikosteroid topikal yang umum.
DIAFORM ,"2,500.00",BEBAS,Obat yang digunakan untuk mengatasi diare nonspesifik atau diare yang umum terjadi bukan disebabkan oleh masalah spesifik di saluran pencernaan.
DEXICORTA,"2,500.00",RESEP DOKTER,"Obat ini memiliki efek anti-inflamasi sehingga dapat digunakan untuk mengatasi berbagai jenis peradangan, seperti alergi, radang kulit, serta lupus."
DIAPET NR,"3,500.00",BEBAS,Membantu mengurangi frekuensi buang air besar dan membantu memadatkan tinja serta menyerap racun pada penderita diare serta bukan sebagai pengganti oralit.
DENTASOL,"8,000.00",BEBAS,"Mengatasi radang gusi, sariawan, sakit gigi, sakit dari rangsangan tumbuh gigi."
DEXTRAL,"7,000.00",BEBAS,"Obat ini digunakan untuk meredakan batuk yang disertai gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin."
DOM,"6,500.00",RESEP DOKTER,"Obat golongan anti-emetik yang dapat meredakan rasa mual, muntah, gangguan perut, rasa tidak nyaman akibat kekenyangan, serta refluks asam lambung."
DAMABEN SYR,"15,000.00",RESEP DOKTER,"Meredakan mual dan muntah pasca operasi, rasa tidak nyaman pada ulu hati karena refluks esofagitis, diabetik gastroparesis akut dan berulang."
DEXYCOL,"15,000.00",RESEP DOKTER,"Antibiotik spektrum luas yang bekerja dengan cara berikatan dengan ribosom bakteri secara reversible sehingga menghambat sintesis protein dari bakteri yang peka, yang pada akhirnya menghambat pertumbuhan bakteri."
DIVASK,"17,000.00",RESEP DOKTER,Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien.
DEMACOLIN SYR,"18,500.00",BEBAS,"Obat ini bekerja sebagai analgesik-antipiretik, antihistamin dan dekongestan hidung, dimana obat ini digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin."
DECOTAN,"3,000.00",BEBAS,Obat ini diindikasikan untuk mengatasi hidung tersumbat.
DEXTAFEN,"27,500.00",RESEP DOKTER,"Meredakan alergi dan peradangan pada beberapa kondisi, seperti pilek, biduran, konjungtivitis, atau rhinitis alergi."
DAPYRIN SYR,"8,250.00",BEBAS,"Obat ini digunakan untuk meringankan rasa sakit seperti sakit kepala, sakit gigi serta menurunkan demam."
DIE DA YAO JING,"27,500.00",BEBAS,"Bermanfaat untuk membantu penyembuhan luka luar, memar, keseleo dan bengkak."
DECOLGEN ,"3,000.00",BEBAS,"Obat flu dengan kandungan Paracetamol, Phenylpropanolamine HCl, dan Chlorpheniramine maleate. Paracetamol digunakan sebagai pereda demam dan sakit kepala. Phenylpropanolamine digunakan untuk mengobati gejala hidung tersumbat."
DICOM,"20,000.00",BEBAS,Obat pilek hidung tersumbat yang memiliki kandungan Pseudoephedrine dan Triprolidine HCl. Pseudoephedrine merupakan senyawa aktif yang bekerja untuk mengecilkan pembengkakan pembuluh darah dan penyumbatan
DEXCLOSAN,"3,500.00",RESEP DOKTER,"Mengobati gangguan alergi yang merespon terapi kortikosteroid, seperti rinitis alergi (inflamasi hidung yang terjadi karena sistem imun menurun), urtikaria atau biduran, dermatitis (gangguan kulit), konjungtivitis alergi, dan demam."
DIONICOL,"13,500.00",RESEP DOKTER,"Obat antibiotik yang digunakan untuk mengobati infeksi bakteri pada saluran pernafasan, infeksi saluran pencernaan, dan infeksi saluran kemih yang peka terhadap thiamphenicol."
DIVOLTAR,"6,000.00",RESEP DOKTER,"Mengatasi Arthritis rheumatoid, kelainan muskuloskletal akut, nyeri dan radang non rematik."
DISMENO,"6,500.00",BEBAS,Herbal ini digunakan untuk membantu meredakan nyeri yang terjadi pada saat haid.
DOHIXAT,"6,000.00",RESEP DOKTER,"Obat ini digunakan dalam terapi dan pengobatan Sipilis, Infeksi yang rentan atau berat, Epididimo-orkitis, Serangan akut malaria falciparum resisten klorokuin, demam atau tifus, Uretritis nongonokokus, Penyakit menular seksual, Gonore tanpa komplikasi"
DAMABEN,"1,000.00",RESEP DOKTER,Damaben dapat digunakan untuk mengatasi diabetik gastroparesis akut dan berulang.
DIVASK,"9,000.00",RESEP DOKTER,Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien.
DONACEPT,"32,500.00",RESEP DOKTER,Donacept di gunakan untuk mengatasi demensia ringan sampai sedang pada penyakit Alzheimer.
DULCOLAX SUP,"23,500.00",BEBAS,Obat pencahar stimulan dengan penggunaan pada rektal/anus yang langsung menuju ke titik sembelit untuk membantu dalam melunakan feses dan membuat rangsangan pada usus besar sehingga mempermudah saat proses pembuangan kotoran melalui BAB.
EVER C,"3,000.00",BEBAS,Bermanfaat mencegah dan mengatasi kekurangan vitamin C.
ERDOSTEINE,"37,500.00",RESEP DOKTER,"Obat mukolitik yang bekerja mengencerkan dahak di saluran pernapasan. Dengan demikian, dahak dapat lebih mudah dikeluarkan saat batuk."
ETORIXOCIB,"5,000.00",RESEP DOKTER,"Sebagai analgesik untuk pengobatan osteoarthritis, meredakan nyeri muskuloskeletal kronik, meredakan nyeri akut yang berhubungan dengan operasi gigi."
EXTROPECT SYR,"35,000.00",RESEP DOKTER,Obat yang berfungsi mengencerkan dahak.
ERSOLON,"5,000.00",RESEP DOKTER,"Meredakan peradangan pada berbagai kondisi, termasuk radang sendi, radang usus, asma, psoriasis, lupus, dan multiple sclerosis."
ERPHAMOL,"3,500.00",BEBAS,"Erphamol dapat digunakan sebagai penurun demam untuk segala usia dan pereda nyeri seperti sakit kepala, sakit gigi dan nyeri ringan lainnya."
ELOX,"57,500.00",RESEP DOKTER,"Mengobati kondisi kulit seperti eksim (bengkak dan kemerahan pada kulit), psoriasis (peradangan kronis pada kulit), alergi, dan ruam."
EPEXOL DROPS,"48,000.00",RESEP DOKTER,Obat ini digunakan sebagai sekretolitik pada gangguan saluran nafas akut dan kronis khususnya pada eksaserbasi bronkitis kronis dan bronkitis asmatik dan asma bronkial
ERLADERM-N,"6,500.00",RESEP DOKTER,Obat yang digunakan untuk mengobati penyakit kulit seperti manifestasi inflamasi dan pruritus pada psoriasis resisten atau berat dan dermatosis yang peka terhadap obat golongan kortikosteroid.
ERMETHASONE,"2,000.00",RESEP DOKTER,"Obat ini digunakan untuk meredakan peradangan dan reaksi alergi yang berupa gatal-gatal di kulit, dermatitis, asma bronkhial, dan sebagainya."
ERPHAFILLIN TB,300.00,RESEP DOKTER,Preparat anti asma yang dapat membantu mengobati asma bronkial dan gangguan kekejangan bronki lainnya.
ERPHAFLAM,"5,000.00",RESEP DOKTER,"Meredakan nyeri dan mengurangi inflamasi pada pasien Rematoid Atritis akut dan kronis, nyeri pada tulang, spondilitis ankilosa. Meredakan nyeri ringan sampai sedang pada saat dismenore atau pasca operasi. Meredakan nyeri gigi ringan hingga sedang."
ERPHAMAZOL CREAM,"6,000.00",BEBAS,"Erphamazol digunakan untuk membantu mengobati infeksi kulit, seperti panu, gatal, kurap, dan infeksi lainnya yang disebabkan oleh jamur."
ERPHATRIM TAB,"4,000.00",RESEP DOKTER,"Digunakan untuk infeksi saluran nafas, infeksi saluran kemih, infeksi gastrointestinal, toksoplasma."
EPSONAL,"7,500.00",RESEP DOKTER,"Obat untuk meredakan rasa sakit, kaku, dan tegang pada otot."
ETABION,"3,500.00",BEBAS,"Suplemen makanan yang mengandung Vitamin C, Vitamin B12, Asam folat dan mineral untuk mencegah dan mengobati kekurangan darah (anemia) dan membantu proses pembentukan darah."
ETADRYL SYR,"6,500.00",BEBAS,Etadryl Expectorant digunakan sebagai pengobatan flu dan batuk.
ETAFEN SYR,"8,000.00",RESEP DOKTER,Obat yang digunakan untuk menurunkan demam pada anak-anak dan meringanan nyeri ringan sampai sedang.
ETAFENIN ,"5,000.00",RESEP DOKTER,"Obat dengan kandungan Asam Mefenamat yang berfungsi sebagai anti nyeri pada tingkat ringan hingga sedang. Obat ini sering digunakan untuk meredakan nyeri pada otot dan sendi, nyeri haid, sakit kepala, sakit gigi, serta nyeri paska operasi."
ETAFLOX ,"6,000.00",RESEP DOKTER,"Obat antibiotik golongan Kuionolon yang dapat mengobati beberapa jenis infeksi, seperti infeksi saluran kemih, infeksi saluran nafas, infeksi saluran cerna, infeksi kulit dan jaringan lunak, infeksi tulang dan sendi"
ETAFLUSIN ,"3,500.00",BEBAS,"Etaflusin digunakan untuk meringankan gejala flu, seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk."
ETAGEMYCETIN,"7,500.00",RESEP DOKTER,"Membunuh bakteri penyebab beberapa penyakit seperti demam tifoid & paratifoid, infeksi berat yang disebabkan oleh Salmonela sp, H influenza, riketsia, Limfogranuloma-psikatosis, dan meningitis yang disebabkan oleh bakteri gram negatif."
ETAMOX,"7,000.00",RESEP DOKTER,"Mengobati infeksi telinga tengah, radang tenggorokan, infeksi saluran pernafasan atas, infeksi saluran kemih, saluran cerna, kulit dan jaringan lunak."
EYEVIT,"36,000.00",BEBAS,"Mampu memperbaiki fungsi mata, mengatasi mata lelah, melindungi mata dari kerusakan radikal bebas dan menurunkan risiko munculnya penyakit mata."
EFISOL C,"18,500.00",BEBAS,Infeksi pada selaput lendir mulut (sariawan) & rongga mulut & nafas mulut bau akibat infeksi tersebut serta meringankan sakit tenggorokan.
ELKANA,"12,500.00",BEBAS,"Tablet dengan kandungan multivitamin dan mineral yang berfungsi sebagai pelengkap selama masa kehamilan, menyusui dan pertumbuhan."
EMTURNAS,"2,500.00",BEBAS,"Obat ini dapat digunakan untuk meredakan sakit kepala, sakit gigi, sakit pada otot, nyeri yang mengganggu dan menurunkan demam yang menyertai flu/influensa serta demam sesudah vaksinasi."
ENERVON C ,"8,000.00",BEBAS,Suplemen yang bermanfaat untuk membantu menjaga daya tahan tubuh.
EPISAN,"62,500.00",RESEP DOKTER,Obat ini digunakan untuk mengatasi tukak pada usus 12 jari (duodenum).
ECODIN,"7,500.00",BEBAS,Ecodine adalah larutan antiseptik yang digunakan untuk mengobati luka dan mencegah infeksi.
ERYRA FORTE,"12,500.00",RESEP DOKTER,"Obat ini termasuk golongan antibiotik yang baik kegunaannya untuk mengeradikasi bakteri penyebab infeksi, contohnya infeksi kulit, mata, telinga, saluran kemih, saluran napas, dan sebagainya."
ETAGESIC SYR,"7,000.00",BEBAS,Etagesic syrup digunakan sebagai analgesik bekerja dengan meningkatkan ambang rasa sakit dan meningkatkan ambang rangsang rasa sakit dan sebagai antipiretik yang diduga bekerja langsung pada pusat pengatur panas di hipotalamus.
ENTROSTOP ,"10,000.00",BEBAS,Obat anti diare yang mengandung bahan-bahan alami.
ELSIRON,"6,000.00",BEBAS,"Obat yang digunakan untuk mengatasi gejala flu, seperti demam, sakit kepala, hidung tersumbat, bersin-bersin dan batuk."
ELROID,"55,000.00",BEBAS,Elroid digunakan untuk membantu meringankan gejala wasir.
ELTAZON,"3,500.00",RESEP DOKTER,"Obat ini digunakan untuk alergi, peradangan, reumatik, penyakit kolagen, penyakit kulit. "
ESTIN,"6,000.00",RESEP DOKTER,"Obat ini digunakan untuk mengatasi berbagai kondisi alergi (rhinitis perennial, rhinitis alergi musiman dan kronis atau urtikaria idiopatik), efektif untuk mengurangi gejala baik pada mata maupun hidung seperti: bersin, hidung meler, rasa gatal atau terbakar"
ENFAVIT,"30,000.00",BEBAS,Enfavit di indikasikan untuk memenuhi kebutuhan vitamin dan mineral.
FETIK SUPP,"23,000.00",RESEP DOKTER,Obat antiinflamasi yang termasuk dalam golongan NSAID yang bekerja dengan mengurangi hormon yang menyebabkan peradangan dan rasa nyeri di tubuh.
FLUNAR,"7,500.00",RESEP DOKTER,"Digunakan untuk Kriptokokosis, kandidiasis mukosal, kandidiasis genital terutama kandidiasis vagina, dermatomikosis dan Profilaksis infeksi jamur."
FASTOR,"17,000.00",RESEP DOKTER,"Bermanfaat untuk menurunkan kadar kolesterol jahat (LDL) dan trigliserida, serta meningkatkan kadar kolesterol baik (HDL) di dalam darah."
FERVITAL,"4,000.00",BEBAS,"Fervital digunakan untuk mengatasi kekurangan vitamin dan mineral, kekurangan darah, masa penyembuhan penyakit, saat hamil, menyusui, menopause dan masa pertumbuhan anak."
FORMUNO ,"10,000.00",BEBAS,"Suplemen yang mengandung ekstrak Echinacea purpurea, Phylantus nururi, ekstrak black eldeberry, ZInc picolinate dan Vitamin C. Suplemen ini digunakan untuk membantu memelihara kesehatan dan daya tahan tubuh."
FLUNAX,"5,000.00",BEBAS,"Flunax dapat digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin."
FLOXIGRA,"7,000.00",RESEP DOKTER,"Antibiotik yang digunakan untuk mengobati infeksi saluran kemih (ISK), infeksi saluran pernafasan, infeksi kulit dan jaringan lunak, infeksi tulang dan sendi, infeksi saluran pencernaan, infeksi genital, dan infeksi lain yang disebabkan oleh bakteri yang rentan."
FASIDOL FORTE,"5,000.00",BEBAS,"Obat ini digunakan untuk mengatasi demam dan sebagai perda nyeri seperti sakit kepala, sakit gigi dan nyeri ringan lainnya."
FEMINAX,"5,000.00",BEBAS,Obat ini dapat digunakan untuk mengurangi rasa sakit pada waktu haid (dismenorea) dan kolik (kejang pada perut).
FLOXIFAR,"6,000.00",RESEP DOKTER,"Obat ini digunakan untuk infeksi serius atau berat karena organisme yang sensitif terhadap clindamycin antara lain Streptokokus, Pneumokokus, Stafilokokus, termasuk bakteri anaerob."
FENOLIP,"13,000.00",RESEP DOKTER,"Obat dislipidemia golongan fibrat, yang dapat menurunkan kadar trigliserida dalam darah dengan cara mengurangi produksi VLDL di hati dan mempercepat eliminasi VLDL."
FLAGYL FORTE ,"12,000.00",RESEP DOKTER,Bermanfaat untuk mengobati berbagai infeksi bakteri dan parasit.
FLUTAMOL P,"17,500.00",BEBAS,"Obat ini digunakan untuk batuk kering dan meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin."
FONDAZEN,"3,500.00",BEBAS,"Fondazen adalah suplemen kesehatan yang mengandung zat aktif besi glukonat, magnesium sulfat, tembaga sulfat, vitamin B12, vitamin C, serta asam folat yang bermanfaat untuk mengatasi anemia terutama untuk haid."
FITBON,"12,000.00",BEBAS,Suplemen ini digunakan untuk membantu memelihara kesehatan tulang dan sendi.
FREGO,"10,000.00",RESEP DOKTER,"Obat yang biasa digunakan untuk membantu pencegahan migrain , pencegahan gangguan perifer, serebrovaskular, pencegahan vertigo dan gangguan vestibular."
FUFANG EJIAO,"23,000.00",BEBAS,Membantu meningkatkan jumlah trombosit pada pasien Demam Berdarah. - Membantu meningkatkan daya tahan tubuh dan jumlah sel darah putih pada pasien kanker yang menjalani kemoterapi dan radiasi.
FLUMIN,"5,000.00",BEBAS,"Obat ini digunakan untuk mengatasi gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin."
FLUCONAZOLE NVL,"20,000.00",RESEP DOKTER,"Fluconazole adalah obat untuk mengatasi penyakit akibat infeksi jamur, termasuk infeksi jamur Candida (candidiasis)"
FASGO,"3,500.00",BEBAS,"Obat ini dapat digunakan untuk meredakan sakit kepala, sakit gigi, sakit pada otot, nyeri yang mengganggu dan menurunkan demam yang menyertai flu/influensa serta demam sesudah vaksinasi."
FULAZ,"20,000.00",BEBAS,Membantu meringankan gejala/gangguan sulit tidur. - Membuat tidur anda lebih pulas dan berkualitas.
FUNDAMIN-E,"6,000.00",BEBAS,"Suplemen untuk membantu meningkatkan nafsu makan, serta menjaga kesehatan syaraf dan sistem metabolik."
